pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,dropoff_datetime
-73.975639,40.756878,-73.926872,40.830872,2013-07-05 19:23:26
-73.99234,40.748447,-73.92968,40.82653,2013-07-05 18:52:19
-73.985947,40.758408,-73.929497,40.826168,2013-07-05 18:41:42
-73.985779,40.760246,-73.92926,40.825668,2013-07-05 19:32:03
-73.938919,40.804951,-73.929611,40.826378,2013-07-05 19:19:29
-73.990356,40.75576,-73.92688,40.831047,2013-07-06 12:45:42
-73.988518,40.774155,-73.928535,40.829315,2013-07-05 18:39:43
-73.983078,40.759846,-73.929955,40.826721,2013-07-05 18:41:50
-73.984192,40.756805,-73.928329,40.829384,2013-07-06 12:50:11
-73.967773,40.801598,-73.922752,40.826488,2013-07-06 12:45:37
-74.015137,40.716263,-73.926544,40.831146,2013-07-06 13:30:25
-73.983261,40.717236,-73.929642,40.826244,2013-07-06 12:54:36
-73.981384,40.758625,-73.929893,40.826664,2013-07-06 12:53:34
-73.978363,40.766487,-73.927338,40.830437,2013-07-06 13:01:00
-73.969398,40.797909,-73.929863,40.828644,2013-07-06 13:34:36
-73.992264,40.748749,-73.930199,40.826912,2013-07-06 12:39:19
-73.984383,40.760693,-73.92878,40.829136,2013-07-06 12:53:28
-73.958206,40.760464,-73.929672,40.826313,2013-07-06 12:44:39
-73.98597,40.758953,-73.929031,40.828983,2013-07-06 13:19:27
-73.952812,40.786041,-73.929848,40.82663,2013-04-18 18:46:18
-73.989182,40.75811,-73.928169,40.82959,2013-04-27 16:12:59
-73.942589,40.841637,-73.923355,40.825321,2013-04-16 19:15:51
-73.990204,40.761684,-73.928513,40.829334,2013-04-27 15:59:00
-73.972198,40.794418,-73.92794,40.830242,2013-04-16 19:02:44
-73.951759,40.790741,-73.92981,40.829777,2013-04-28 12:43:07
-73.987518,40.760567,-73.929939,40.826759,2013-04-28 13:09:21
-73.980507,40.78339,-73.922798,40.826344,2013-04-28 12:57:29
-73.962845,40.763298,-73.930084,40.826778,2013-04-28 12:56:00
-73.986549,40.776821,-73.922775,40.826908,2013-04-28 13:14:30
-73.925652,40.772385,-73.929596,40.826374,2013-04-28 13:11:00
-74.00843,40.714424,-73.929924,40.826721,2013-04-28 13:08:43
-74.00322,40.727772,-73.928917,40.829018,2013-04-28 13:34:27
-73.949539,40.776913,-73.929855,40.826675,2013-04-28 13:13:08
-73.973877,40.75008,-73.927223,40.825657,2013-04-28 13:32:16
-73.955162,40.804646,-73.928879,40.829052,2013-04-28 13:32:00
-73.962845,40.804283,-73.929214,40.829796,2013-04-18 18:41:47
-74.01487,40.709461,-73.92897,40.829052,2013-04-16 19:05:00
-73.98214,40.767628,-73.927185,40.825588,2013-04-17 18:39:05
-73.970161,40.78896,-73.927048,40.830765,2013-04-17 18:36:19
-73.922737,40.831726,-73.922737,40.831726,2013-07-26 18:44:36
-73.964912,40.772533,-73.930115,40.826801,2013-07-26 19:10:29
-73.922737,40.831726,-73.922737,40.831726,2013-07-26 18:59:39
-73.973244,40.756786,-73.92807,40.830299,2013-07-26 18:37:52
-73.98703,40.71949,-73.930458,40.826878,2013-07-26 19:05:59
-73.995499,40.76458,-73.926132,40.826439,2013-07-26 19:27:43
-73.986473,40.76083,-73.92897,40.825287,2013-07-26 18:46:50
-73.972443,40.75679,-73.926514,40.826611,2013-07-26 18:52:57
-73.97261,40.785961,-73.929565,40.826183,2013-07-26 19:07:29
-73.955658,40.768448,-73.929482,40.825981,2013-07-26 19:23:13
-73.976799,40.74839,-73.930428,40.826881,2013-07-26 19:30:52
-73.922737,40.831726,-73.922737,40.831726,2013-07-26 19:24:29
-73.991173,40.729767,-73.930481,40.826839,2013-07-26 18:42:18
-73.982994,40.75975,-73.928856,40.829121,2013-07-26 18:42:12
-73.964149,40.80748,-73.928513,40.829327,2013-07-27 12:54:57
-73.974373,40.788425,-73.928764,40.829132,2013-07-27 13:15:01
-73.975372,40.752312,-73.929604,40.826241,2013-07-27 13:10:32
-73.991508,40.738464,-73.930031,40.826748,2013-07-27 13:22:44
-73.946686,40.779037,-73.930473,40.826836,2013-07-27 12:48:42
-73.948914,40.782536,-73.930809,40.826637,2013-07-27 13:23:25
-73.956528,40.763184,-73.929825,40.826649,2013-07-27 13:08:17
-73.870956,40.77375,-73.930573,40.826431,2013-08-20 12:50:00
-73.973808,40.764271,-73.929436,40.825935,2013-08-20 12:52:00
-73.980743,40.760204,-73.929573,40.82616,2013-08-20 12:50:00
-73.98587,40.759327,-73.92836,40.829391,2013-08-20 12:48:00
-73.981972,40.762897,-73.929665,40.828625,2013-08-20 13:01:00
-73.984367,40.728798,-73.929886,40.826721,2013-08-20 13:05:00
-73.969093,40.795727,-73.928711,40.829159,2013-08-20 13:06:00
-74.012726,40.704128,-73.929543,40.826256,2013-08-20 13:14:00
-73.992126,40.749989,-73.929649,40.826385,2013-08-20 18:39:00
-73.989319,40.758808,-73.929741,40.826626,2013-08-20 18:37:00
-73.986641,40.729839,-73.93,40.826744,2013-08-20 18:39:00
-73.986961,40.760277,-73.928017,40.830269,2013-08-20 18:38:00
-73.96743,40.752327,-73.930649,40.826168,2013-08-20 18:46:00
-73.95723,40.801929,-73.932533,40.828156,2013-08-20 18:46:00
-73.979401,40.724957,-73.925957,40.825645,2013-08-20 18:51:00
-73.952858,40.810677,-73.926826,40.830872,2013-08-20 19:33:00
-73.95063,40.777515,-73.929497,40.826176,2013-08-20 19:27:00
-73.874718,40.774078,-73.930023,40.826778,2013-04-25 19:18:00
-73.975906,40.755661,-73.929764,40.826519,2013-04-25 19:05:20
-73.985672,40.763012,-73.928719,40.82914,2013-04-18 19:24:00
-73.955872,40.776089,-73.93055,40.826805,2013-04-18 18:40:07
-73.995964,40.759136,-73.928185,40.829552,2013-04-25 19:00:53
-74.016426,40.714867,-73.929611,40.826275,2013-04-26 19:05:00
-73.948967,40.788486,-73.927849,40.831474,2013-04-26 19:25:24
-73.974449,40.758183,-73.929764,40.826466,2013-04-26 18:53:20
-73.9459,40.832935,-73.928139,40.829552,2013-04-04 19:23:22
-73.962234,40.77626,-73.930786,40.829468,2013-06-22 12:48:00
-73.993523,40.752502,-73.929283,40.82888,2013-06-22 13:18:00
-74.003105,40.741795,-73.929825,40.826599,2013-06-22 13:05:00
-73.946709,40.776318,-73.929764,40.826546,2013-06-22 13:01:00
-73.955505,40.779556,-73.929733,40.826607,2013-06-22 13:04:00
-74.016052,40.705101,-73.924835,40.827736,2013-06-22 13:08:00
-73.986168,40.743607,-73.929558,40.826241,2013-06-22 13:30:00
-74.003548,40.74847,-73.928833,40.829094,2013-06-22 13:26:00
-74.005325,40.725838,-73.923691,40.827045,2013-06-22 13:27:00
-73.783867,40.648735,-73.929375,40.828812,2013-06-22 13:31:00
-73.94825,40.824177,-73.928093,40.829632,2013-06-19 12:36:00
-73.96479,40.806976,-73.928459,40.829376,2013-06-19 12:36:00
-73.966522,40.761662,-73.930618,40.826176,2013-06-19 13:02:00
-73.953018,40.803509,-73.928337,40.829441,2013-06-19 12:38:00
-73.958549,40.781185,-73.930191,40.826832,2013-06-19 12:38:00
-73.948738,40.801617,-73.929024,40.830059,2013-06-19 12:39:00
