pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,dropoff_datetime
-74.004532,40.72163,-73.848625,40.758202,2013-07-25 11:47:25
-73.978653,40.777321,-73.847694,40.758808,2013-07-25 11:49:14
-73.957779,40.773716,-73.848915,40.757957,2013-07-25 11:50:39
-73.776794,40.645397,-73.844139,40.75684,2013-07-25 12:24:58
-73.928345,40.763535,-73.848717,40.758087,2013-04-21 12:50:19
-73.776695,40.645283,-73.848938,40.757374,2013-04-26 18:52:45
-73.840958,40.75703,-73.840958,40.75703,2013-04-26 19:12:53
-74.005661,40.740688,-73.8451,40.758808,2013-04-26 19:39:00
-73.864075,40.769653,-73.849236,40.757324,2013-04-26 18:52:19
-74.016136,40.711166,-73.846046,40.754642,2013-04-07 13:07:32
-74.014679,40.709538,-73.844727,40.758152,2013-04-07 12:50:03
-73.958504,40.768757,-73.844963,40.758625,2013-04-07 12:47:44
-73.914726,40.766945,-73.845284,40.759209,2013-04-07 13:01:53
-73.989433,40.688824,-73.849312,40.757282,2013-04-06 13:15:09
-73.913887,40.765411,-73.8498,40.756992,2013-04-06 13:08:46
-73.979233,40.761971,-73.848946,40.757442,2013-04-06 13:29:53
-73.973824,40.784115,-73.845947,40.759651,2013-04-07 12:44:29
-73.978981,40.736397,-73.851601,40.754929,2013-04-07 13:10:48
-73.870827,40.77354,-73.84787,40.758717,2013-04-06 12:44:58
-73.984894,40.779629,-73.844856,40.758327,2013-04-07 13:38:28
-73.988846,40.692371,-73.84861,40.758209,2013-04-07 13:32:00
-73.99678,40.720474,-73.844345,40.757355,2013-04-07 13:39:55
-73.885384,40.773106,-73.844254,40.757225,2013-08-20 19:33:00
-73.990379,40.686852,-73.845001,40.758621,2013-05-12 12:47:00
-73.993225,40.747292,-73.844933,40.758606,2013-05-12 13:21:00
-73.867538,40.768272,-73.844345,40.757286,2013-05-12 13:33:00
-73.993698,40.75124,-73.843811,40.756271,2013-05-12 13:23:00
-73.997421,40.73629,-73.849419,40.757202,2013-05-12 12:55:00
-73.979218,40.744305,-73.848694,40.757538,2013-05-12 13:35:00
-73.983109,40.769318,-73.843819,40.756401,2013-05-12 13:34:00
-73.984154,40.728649,-73.849159,40.757343,2013-05-12 13:34:00
-73.977348,40.790035,-73.843735,40.756268,2013-05-12 13:22:00
-73.987228,40.759491,-73.846352,40.754383,2013-05-12 13:00:00
-73.951172,40.774189,-73.845108,40.758839,2013-05-12 13:15:00
-73.984947,40.728046,-73.849022,40.758015,2013-05-12 13:27:00
-73.991585,40.695446,-73.843651,40.756207,2013-05-12 12:52:00
-73.876328,40.768257,-73.844696,40.758209,2013-05-12 13:00:00
-73.790245,40.646721,-73.849228,40.757729,2013-05-12 13:04:00
-73.985336,40.763664,-73.845924,40.75967,2013-09-29 13:02:46
-73.947723,40.830383,-73.843712,40.756126,2013-08-23 19:36:00
-74.017151,40.704941,-73.848991,40.760078,2013-08-23 18:46:00
-73.876328,40.768768,-73.845215,40.759007,2013-08-23 19:02:00
-73.990822,40.746197,-73.844742,40.758144,2013-08-23 18:51:00
-73.98851,40.731396,-73.846512,40.759644,2013-08-23 18:52:00
-73.974091,40.750847,-73.846146,40.759846,2013-08-23 19:10:00
-73.963638,40.772751,-73.84568,40.754639,2013-08-23 19:06:00
-73.973923,40.751488,-73.845329,40.759312,2013-08-23 19:18:00
-73.974312,40.750858,-73.84507,40.758926,2013-08-23 19:19:00
-73.954834,40.765076,-73.84581,40.759842,2013-08-23 19:21:00
-73.948524,40.789085,-73.845276,40.754799,2013-08-23 19:14:00
-73.973877,40.750786,-73.844513,40.757744,2013-08-23 19:23:00
-73.871262,40.773876,-73.844551,40.757694,2013-08-23 19:29:00
-74.013084,40.709431,-73.845467,40.759525,2013-08-23 19:18:00
-73.956024,40.771175,-73.845032,40.758682,2013-08-23 19:28:00
-73.982025,40.735683,-73.85215,40.753468,2013-08-23 19:33:00
-73.973961,40.783981,-73.845238,40.759087,2013-04-04 12:40:05
-73.958549,40.772606,-73.845657,40.759724,2013-04-01 12:53:00
-73.990997,40.750107,-73.848389,40.758347,2013-04-01 12:48:00
-73.984337,40.737278,-73.845833,40.754456,2013-04-01 13:16:00
-73.977798,40.789005,-73.845497,40.759628,2013-04-01 13:18:00
-73.995628,40.724937,-73.845978,40.759895,2013-04-01 13:28:00
-73.992691,40.698044,-73.844376,40.757393,2013-04-01 13:24:00
-73.976028,40.74905,-73.844925,40.758511,2013-04-01 13:39:00
-73.955978,40.768044,-73.843727,40.75621,2013-07-24 18:47:37
-73.985634,40.748749,-73.843842,40.756554,2013-07-24 19:35:08
-73.94986,40.784477,-73.847466,40.758915,2013-07-25 11:49:01
-73.978279,40.724827,-73.846611,40.75415,2013-07-25 11:58:52
-73.861626,40.768288,-73.84906,40.757702,2013-07-25 11:50:25
-73.986855,40.758369,-73.843407,40.755821,2013-07-25 12:26:15
-73.906227,40.753418,-73.848198,40.75843,2013-07-25 12:06:21
-73.945992,40.71442,-73.844917,40.758476,2013-09-18 18:54:11
-73.97702,40.752068,-73.844772,40.75819,2013-09-17 19:10:19
-73.886497,40.768608,-73.844574,40.757824,2013-09-17 19:31:36
-73.969513,40.763969,-73.843971,40.756721,2013-09-17 18:47:42
-73.983856,40.762001,-73.844658,40.757977,2013-09-17 19:39:35
-73.986542,40.758686,-73.844818,40.758266,2013-09-18 18:55:19
-73.939621,40.751621,-73.848846,40.7575,2013-09-17 19:22:11
-73.978958,40.761742,-73.84877,40.757629,2013-09-19 12:54:06
