"|","name","lines","lat","line","lng"
"233RD ST-WHITE PLAINS ROAD","233 St","2,5","40.893215","White Plains","-73.857344"
"GRAND ST-CHRISTIE ST","Grand St","B,D","40.718155","6th Avenue","-73.993452"
"77TH STREET-LEXINGTON AVE","77 St","6","40.773603","Lexington","-73.959578"
"63RD STREET-LEXINGTON AVE","Lexington Av/63 St","F","40.764881","63rd Street","-73.966411"
"LORIMER STREET-BROADWAY","Lorimer St","J,M","40.703454","Jamaica","-73.946536"
"NASSAU AVE-MANHATTAN AVE","Nassau Av","G","40.723765","Crosstown","-73.950566"
"FLUSHING AVE-BROADWAY","Flushing Av","J,M","40.700847","Jamaica","-73.941710"
"8TH AVENUE-14TH STREET","8 Av","A,C,E,L","40.739550","Canarsie","-74.002389"
"NOSTRAND AVE-FULTON ST","Nostrand Av","A,C","40.680228","Fulton Street","-73.949414"
"174TH-175TH ST-GRAND CONCOU","174-175 Sts","B,D","40.846354","Concourse","-73.909047"
"AVENUE J-EAST 16TH STREET","Avenue J","B,Q","40.625140","Brighton","-73.960798"
"CORTELYOU RD-EAST 16TH ST","Cortelyou Rd","B,Q","40.641314","Brighton","-73.963996"
"103RD ST-ROOSEVELT AVE","103 St-Corona Plaza","7","40.749787","Flushing","-73.862389"
"15TH ST-PROSPECT PARK WEST","15 St-Prospect Park","F,G","40.660763","Prospect Park","-73.978992"
"BOWLING GREEN & BROADWAY","Bowling Green","4,5","40.704629","Lexington","-74.013502"
"BROADWAY - UNION AVENUE","Broadway","G","40.705114","Crosstown","-73.950062"
"CLASSON AVENUE-LAFAYETTE AV","Classon Av","G","40.688781","Crosstown","-73.959871"
"BEACH 25TH STREET-WAVECREST","Beach 25 St","A","40.599670","Far Rockaway","-73.761596"
"ATLANTIC AVENUE","Atlantic Av","B,D,N,Q,R,2,3,4,5","40.684976","Eastern Parkway","-73.977880"
"174TH STREET-SOUTHERN BLVD","174 St","2,5","40.837306","White Plains","-73.887287"
"NEPTUNE AVE-MCDONALD AVENUE","Neptune Av","F","40.580576","Culver","-73.974443"
"21ST STREET-JACKSON AVENUE","21 St","G","40.744552","Crosstown","-73.948425"
"FRANK AVENUE-BEACH 44TH ST","Beach 44 St","A","40.592897","Far Rockaway","-73.775715"
"JAMAICA CENTER-PARSONS BLVD","Jamaica Center-Parsons/Archer","E,J,Z","40.702353","Archer Avenue","-73.799784"
"FULTON & WILLIAM STREETS","Fulton St","A,C,J,Z,2,3,4,5","40.709458","Clark Street","-74.006139"
"WEST 4TH ST-WASHINGTON SQ","W 4 St-Wash Sq","A,B,C,D,E,F,M","40.733259","8th Avenue","-73.999615"
"BUHRE AVE-WESTCHESTER AVE","Buhre Av","6","40.847185","Pelham","-73.832264"
"157TH STREET-BROADWAY","157 St","1","40.833860","7th Ave-Bway","-73.944620"
"EUCLID AVE-PITKIN AVE","Euclid Av","A,C","40.675533","Fulton Street","-73.871742"
"AVENUE P-MCDONALD AVENUE","Avenue P","F","40.609041","Culver","-73.972904"
"190TH STREET-OVERLOOK TERR","190 St","A","40.858899","8th Avenue","-73.932702"
"FORT HAMILTON PARKWAY-62ND","Fort Hamilton Pkwy","N","40.632179","Sea Beach","-74.006658"
"UTICA AVE-STUYVESANT AVE","Utica Av","A,C","40.679346","Fulton Street","-73.931987"
"DITMAS AVE-MCDONALD AVE","Ditmas Av","F","40.635389","Culver","-73.977914"
"59TH STREET & LEXINGTON AVE","59 St","N,Q,R,4,5,6","40.762069","Lexington","-73.968016"
"JAY ST-METROTECH","Jay St-MetroTech","A,C,F,R","40.693491","Fulton Street","-73.987089"
"SPRING STREET-6TH AVENUE","Spring St","C,E","40.725583","8th Avenue","-74.003747"
"34TH STREET & 7TH AVENUE","34 St-Penn Station","1,2,3","40.751020","7th Ave-Bway","-73.990323"
"ASTORIA BLVD & 31ST STREET","Astoria Blvd","N,Q","40.770870","Astoria","-73.916935"
"30TH AVENUE & 31ST STREET","30 Av","N,Q","40.766963","Astoria","-73.921192"
"HUNTERS PT AVE-49TH AVE","Hunters Point Av","7","40.742405","Flushing","-73.948110"
"65TH STREET-BROADWAY","65 St","M,R","40.749330","Queens","-73.897382"
"18TH AVE-MCDONALD AVE","18 Av","F","40.630562","Culver","-73.976995"
"CARROLL ST-PRESIDENT ST","Carroll St","F,G","40.680944","Prospect Park","-73.994247"
"59TH STREET/COLUMBUS CIRCLE","59 St-Columbus Circle","A,B,C,D,1","40.767642","7th Ave-Bway","-73.981235"
"51ST STREET & LEXINGTON AVE","51 St","E,M,6","40.757059","Lexington","-73.971570"
"ST LAWRENCE AVE-WEST AVE","St Lawrence Av","6","40.831466","Pelham","-73.867410"
"FOREST AVENUE-PUTNAM AVENUE","Forest Av","M","40.704729","Myrtle Avenue","-73.902243"
"169TH STREET & HILLSIDE AVE","169 St","F","40.710563","Queens","-73.792853"
"BAY RIDGE AVE-4TH AVENUE","Bay Ridge Av","R","40.634768","4th Avenue","-74.023339"
"AVENUE I-MCDONALD AVENUE","Avenue I","F","40.626163","Culver","-73.976177"
"7TH AVENUE-9TH STREET","7 Av","F,G","40.667004","Prospect Park","-73.981331"
"VAN SICLEN AVE-PITKIN AVE","Van Siclen Av","A,C","40.672479","Fulton Street","-73.890164"
"225TH ST-WHITE PLAINS ROAD","225 St","2,5","40.887660","White Plains","-73.860444"
"HOLLAND-BEACH 90TH STREET","Beach 90 St","H","40.587814","Rockaway","-73.814037"
"HOYT STREET-HOYT STREET","Hoyt St","2,3","40.690388","Eastern Parkway","-73.985299"
"LIVONIA AVE-VAN SINDEREN AV","Livonia Av","L","40.663749","Canarsie","-73.900482"
"42ND STREET & 6TH AVENUE","42 St-Bryant Pk","B,D,F,M,7","40.754832","6th Avenue","-73.983657"
"MORGAN AVENUE-HARRISON PL","Morgan Av","L","40.706317","Canarsie","-73.931696"
"WILSON AVENUE-MOFFAT STREET","Wilson Av","L","40.688805","Canarsie","-73.904741"
"9TH AVENUE-39TH STREET","9 Av","D","40.646337","West End","-73.994489"
"DYCKMAN STREET-BROADWAY","Dyckman St","A","40.865342","8th Avenue","-73.926964"
"155TH STREET-ST NICHOLAS AV","155 St","C","40.830921","8th Avenue","-73.941100"
"BOROUGH HALL - COURT STREET","Borough Hall","R,2,3,4,5","40.693569","Clark Street","-73.990599"
"BERGEN STREET-SMITH STREET","Bergen St","F,G","40.686727","Prospect Park","-73.990269"
"CLINTON AVENUE-FULTON ST","Clinton-Washington Avs","C","40.683317","Fulton Street","-73.966741"
"103RD STREET-BROADWAY","103 St","1","40.799223","7th Ave-Bway","-73.968271"
"FREEMAN ST-SOUTHERN BLVD","Freeman St","2,5","40.830177","White Plains","-73.891482"
"238TH STREET-BROADWAY","238 St","1","40.885226","7th Ave-Bway","-73.900439"
"ROCKAWAY BLVD-LIBERTY AVE","Rockaway Blvd","A","40.680158","Liberty Avenue","-73.845131"
"VAN WYCK BLVD-METROPOLITAN","Jamaica-Van Wyck","E","40.701263","Archer Avenue","-73.816372"
